game,publisher,publisher2,genre,genre_ma,genre_mi,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
Pro Cast Sports Fishing,Capcom,Capcom,Sports,Sports,NA,2003,2003,E,E,1,1,NA,NA,49,Yes,0.02,0.01,NA,NA,0.03
Pro Fishing Challenge,Atlus,Other,Sports,Sports,NA,2004,2004,E,E,4,4,8,8,62,Yes,0.02,NA,NA,NA,0.02
Pro Race Driver,Codemasters,Codemasters,Racing,Racing,NA,2003,2003,T,T,4,4,NA,NA,80,No,0.03,0.01,NA,NA,0.04
Project Gotham Racing,Microsoft Game Studios,Microsoft Game Studios,Racing,Racing,NA,2001,2002,E,E,4,4,NA,NA,85,Yes,1.37,0.61,0.05,0.09,2.12
Project: Snowblind,Eidos Interactive,Eidos Interactive,ActionAdventure,ActionAdventure,NA,2005,2005,E,E,4,4,16,16,79,No,0.08,0.02,NA,NA,0.11
ProStroke Golf: World Tour 2007,Oxygen Interactive,Other,Sports,Sports,NA,2006,2006,E,E,4,4,NA,NA,66,No,NA,NA,NA,NA,NA
Psi-Ops: The Mindgate Conspiracy,Midway Games,Midway Games,Shooter,Shooter,NA,2004,2004,M,M,1,1,NA,NA,84,No,0.13,0.04,NA,0.01,0.17
Psychonauts,THQ,THQ,Platformer,NA,Platformer,2005,2005,T,T,1,1,NA,NA,88,No,0.09,0.03,NA,NA,0.12
Psyvariar 2: Extend Edition,Success,Other,Shooter,Shooter,NA,2004,2004,T,T,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Pulse Racer,Jaleco,Other,Racing,Racing,NA,2003,2003,E,E,4,4,NA,NA,24,No,0.01,NA,NA,NA,0.02
Pump It Up: Exceed,Mastiff,Other,Music,NA,Music,2005,2005,T,T,2,2,2,2,74,No,0.01,NA,NA,NA,0.02
Pure Pinball,XS Games,Other,Misc,NA,Misc,2004,2004,E,E,1,1,NA,NA,68,Yes,0.03,0.01,NA,NA,0.04
Puyo Pop Fever,Sega,Sega,Puzzle,NA,Puzzle,2004,2004,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Quantum Redshift,Microsoft Game Studios,Microsoft Game Studios,Racing,Racing,NA,2002,2002,T,T,4,4,NA,NA,70,Yes,0.09,0.03,NA,NA,0.13
R: Racing Evolution,Namco Bandai Games,Namco Bandai Games,Racing,Racing,NA,2003,2003,T,T,2,2,NA,NA,67,No,0.06,0.02,NA,NA,0.09
RalliSport Challenge,Microsoft Game Studios,Microsoft Game Studios,Racing,Racing,NA,2002,2002,E,E,4,4,NA,NA,87,Yes,0.39,0.16,NA,0.02,0.57
RalliSport Challenge 2,Microsoft Game Studios,Microsoft Game Studios,Racing,Racing,NA,2004,2004,E,E,4,4,16,16,87,Yes,0.18,0.08,NA,0.01,0.27
Rally Fusion: Race of Champions,Activision,Activision,Racing,Racing,NA,2002,2002,E,E,4,4,NA,NA,69,No,0.04,0.01,NA,NA,0.05
Rapala Pro Fishing,Zoo Digital Publishing,Other,Sports,Sports,NA,2004,2004,E,E,1,1,NA,NA,59,No,0.12,0.03,NA,0.01,0.16
Ratatouille,THQ,THQ,Platformer,NA,Platformer,2007,2006,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Rayman 3: Hoodlum Havoc,Ubisoft,Ubisoft,Platformer,NA,Platformer,2003,2003,E,E,1,1,NA,NA,75,No,0.06,0.02,NA,NA,0.07
Rayman Arena,Ubisoft,Ubisoft,Racing,Racing,NA,2002,2002,E,E,4,4,NA,NA,50,No,0.05,0.01,NA,NA,0.07
Raze's Hell,Majesco Entertainment,Other,Shooter,Shooter,NA,2005,2005,M,M,2,2,10,8,71,No,0.04,0.01,NA,NA,0.05
Real World Golf,Mad Catz,Other,Sports,Sports,NA,2006,2006,E,E,4,4,NA,NA,74,No,0.02,0.01,NA,NA,0.03
Red Dead Revolver,Take-Two Interactive,Take-Two Interactive,Shooter,Shooter,NA,2004,2004,M,M,2,2,NA,NA,74,No,0.4,0.12,NA,0.02,0.55
Red Faction II,THQ,THQ,Shooter,Shooter,NA,2003,2003,M,M,4,4,NA,NA,74,No,0.09,0.03,NA,NA,0.12
Red Ninja: End of Honor,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,46,No,0.01,NA,NA,NA,0.02
RedCard 20-03,Midway Games,Midway Games,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,67,No,0.03,0.01,NA,NA,0.03
Reign of Fire,BAM! Entertainment,Other,Shooter,Shooter,NA,2002,2002,M,M,1,1,NA,NA,54,No,0.07,0.02,NA,NA,0.1
Rent A Hero No.1,Sega,Sega,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,54,Yes,NA,NA,NA,NA,NA
Reservoir Dogs,Eidos Interactive,Eidos Interactive,ActionAdventure,ActionAdventure,NA,2006,2006,M,M,1,1,NA,NA,50,No,NA,NA,NA,NA,NA
Return to Castle Wolfenstein: Tides of War,Activision,Activision,Shooter,Shooter,NA,2003,2003,M,M,2,2,16,16,84,No,0.49,0.16,NA,0.02,0.67
Richard Burns Rally,SCi,Other,Racing,Racing,NA,2005,2005,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
RLH: Run Like Hell,Avalon Interactive,Other,Shooter,Shooter,NA,2003,2003,M,M,1,1,NA,NA,55,No,0.03,0.01,NA,NA,0.04
RoadKill,Midway Games,Midway Games,ActionAdventure,ActionAdventure,NA,2003,2003,M,M,4,4,NA,NA,68,No,0.06,0.02,NA,NA,0.08
Robin Hood: Defender of the Crown,Capcom,Capcom,Strategy,NA,Strategy,2003,2003,T,T,1,1,NA,NA,57,No,0.02,0.01,NA,NA,0.03
RoboCop,Titus,Other,Shooter,Shooter,NA,2003,2003,M,M,1,1,NA,NA,30,No,0.01,NA,NA,NA,0.02
Robotech: Battlecry,Take-Two Interactive,Take-Two Interactive,Shooter,Shooter,NA,2002,2002,T,T,2,2,NA,NA,74,No,0.16,0.05,NA,0.01,0.21
Robotech: Invasion,Global Star,Global Star,Shooter,Shooter,NA,2004,2004,T,T,1,1,8,8,59,No,0.04,0.01,NA,NA,0.05
Robots,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,NA,2005,2005,E,E,1,1,NA,NA,60,No,0.07,0.02,NA,NA,0.09
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,NA,2003,2003,M,M,1,1,NA,NA,96,No,1.84,0.56,NA,0.09,2.49
Rocky,Rage Software,Other,Fighting,NA,Fighting,2002,2002,T,T,2,2,NA,NA,74,No,0.11,0.03,NA,0.01,0.15
Rocky: Legends,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,2,2,NA,NA,67,No,0.07,0.02,NA,NA,0.1
Rogue Ops,Kemco,Other,ActionAdventure,ActionAdventure,NA,2003,2003,M,M,1,1,NA,NA,63,No,0.1,0.03,NA,NA,0.13
Rogue Trooper,Eidos Interactive,Eidos Interactive,Shooter,Shooter,NA,2006,2006,T,T,2,2,4,4,71,No,0.01,NA,NA,NA,0.02
RollerCoaster Tycoon,Atari,Atari,Strategy,NA,Strategy,2003,2003,E,E,1,1,NA,NA,62,Yes,0.1,0.03,NA,NA,0.13
Room Zoom: Race for Impact,Jaleco,Other,Racing,Racing,NA,2004,2004,E,E,4,4,6,4,NA,No,0.02,0.01,NA,NA,0.02
Rugby 06,Electronic Arts,Electronic Arts,Sports,Sports,NA,2006,2006,E,E,4,4,6,4,76,No,0.01,NA,NA,NA,0.02
Rugby 2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,4,4,NA,NA,75,No,0.04,0.01,NA,NA,0.05
Samurai Shodown V,Ignition Entertainment,Other,Fighting,NA,Fighting,2006,2006,T,T,2,2,2,2,58,No,0.02,NA,NA,NA,0.02
Samurai Warriors,Tecmo Koei,Tecmo Koei,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,2,2,NA,NA,58,No,0.05,0.02,NA,NA,0.07
Scaler,Global Star,Global Star,Platformer,NA,Platformer,2004,2004,E,E,1,1,NA,NA,69,No,0.03,0.01,NA,NA,0.04
Scarface: The World is Yours,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,NA,2006,2006,M,M,1,1,NA,NA,76,No,0.37,0.11,NA,0.02,0.49
Scooby-Doo! Mystery Mayhem,THQ,THQ,ActionAdventure,ActionAdventure,NA,2004,2004,E,E,1,1,NA,NA,56,No,0.11,0.03,NA,0.01,0.15
Scooby-Doo! Night of 100 Frights,THQ,THQ,Platformer,NA,Platformer,2003,2003,E,E,1,1,NA,NA,66,No,0.11,0.03,NA,0.01,0.14
Scooby-Doo! Unmasked,THQ,THQ,Platformer,NA,Platformer,2005,2005,E,E,1,1,NA,NA,62,No,0.06,0.02,NA,NA,0.08
SeaBlade,Take-Two Interactive,Take-Two Interactive,Shooter,Shooter,NA,2002,2002,T,T,4,4,NA,NA,48,Yes,0.04,0.01,NA,NA,0.06
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Activision,Activision,ActionAdventure,ActionAdventure,NA,2005,2005,E,E,1,1,NA,NA,NA,No,0.01,NA,NA,NA,0.01
Second Sight,Codemasters,Codemasters,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,1,1,NA,NA,75,No,0.05,0.02,NA,NA,0.07
Secret Weapons Over Normandy,LucasArts,LucasArts,Simulation,NA,Simulation,2003,2003,T,T,2,2,NA,NA,77,No,0.19,0.05,NA,0.01,0.25
Sega GT 2002,Sega,Sega,Racing,Racing,NA,2002,2002,E,E,2,2,NA,NA,82,Yes,0.12,0.03,0.03,0.01,0.19
Sega GT Online,Sega,Sega,Racing,Racing,NA,2003,2003,E,E,4,4,4,4,72,Yes,0.06,0.02,NA,NA,0.08
Sega Soccer Slam,Sega,Sega,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,80,No,0.04,0.01,NA,NA,0.05
Sensible Soccer 2006,Codemasters,Codemasters,Sports,Sports,NA,2006,2006,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Sentou Yousei Yuki Kaze,Aquasystem,Other,Simulation,NA,Simulation,2003,2003,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Serious Sam,Take-Two Interactive,Take-Two Interactive,Shooter,Shooter,NA,2002,2002,M,M,4,4,NA,NA,75,No,0.11,0.03,NA,0.01,0.15
Serious Sam II,Take-Two Interactive,Take-Two Interactive,Shooter,Shooter,NA,2005,2005,M,M,4,4,4,4,72,Yes,0.05,0.01,NA,NA,0.06
Shadow of Memories,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Shadow Ops: Red Mercury,Atari,Atari,Shooter,Shooter,NA,2004,2004,T,T,4,4,8,8,61,Yes,0.11,0.03,NA,0.01,0.15
Shadow The Hedgehog,Sega,Sega,Platformer,NA,Platformer,2005,2005,E10,E,2,2,NA,NA,49,No,0.13,0.04,NA,0.01,0.18
Shark Tale,Activision,Activision,ActionAdventure,ActionAdventure,NA,2004,2004,E,E,1,1,NA,NA,67,No,0.15,0.04,NA,0.01,0.2
Shattered Union,Take-Two Interactive,Take-Two Interactive,Strategy,NA,Strategy,2005,2005,T,T,2,2,2,2,66,Yes,0.03,0.01,NA,NA,0.04
ShellShock: Nam '67,Eidos Interactive,Eidos Interactive,Shooter,Shooter,NA,2004,2004,M,M,1,1,NA,NA,58,No,0.16,0.05,NA,0.01,0.22
Shenmue II,Microsoft Game Studios,Microsoft Game Studios,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,80,Yes,0.22,0.08,NA,0.01,0.32
Shikigami no Shiro,MediaQuest,Other,Shooter,Shooter,NA,2002,2002,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Shikigami no Shiro Evolution,MediaQuest,Other,Shooter,Shooter,NA,2002,2002,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Shikigami no Shiro II,Kids Station,Other,Shooter,Shooter,NA,2004,2004,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Shin Megami Tensei NINE,Atlus,Other,RPG,NA,RPG,2002,2002,T,T,1,1,NA,NA,NA,Yes,NA,NA,0.05,NA,0.05
Showdown: Legends of Wrestling,Acclaim Entertainment,Acclaim Entertainment,Fighting,NA,Fighting,2004,2004,T,T,4,4,NA,NA,57,No,0.09,0.03,NA,NA,0.12
Shrek,Take-Two Interactive,Take-Two Interactive,Platformer,NA,Platformer,2001,2002,T,T,1,1,NA,NA,49,No,0.25,0.1,NA,0.01,0.36
Shrek 2,Activision,Activision,Platformer,NA,Platformer,2004,2004,E,E,4,4,NA,NA,72,No,0.4,0.13,NA,0.02,0.55
Shrek Super Party,Take-Two Interactive,Take-Two Interactive,Party,NA,Party,2002,2002,E,E,4,4,NA,NA,33,No,0.1,0.03,NA,NA,0.13
Shrek SuperSlam,Activision,Activision,ActionAdventure,ActionAdventure,NA,2005,2005,E10,E,4,4,NA,NA,71,No,0.07,0.02,NA,NA,0.09
Sid Meier's Pirates!,Take-Two Interactive,Take-Two Interactive,Strategy,NA,Strategy,2005,2005,T,T,4,4,NA,NA,80,No,0.11,0.03,NA,0.01,0.14
Silent Hill 2: Restless Dreams,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,NA,2001,2002,M,M,1,1,NA,NA,84,No,0.21,0.06,NA,0.01,0.28
Silent Hill 4: The Room,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,1,1,NA,NA,76,No,0.14,0.04,NA,0.01,0.18
Silent Scope Complete,Konami Digital Entertainment,Konami Digital Entertainment,Shooter,Shooter,NA,2004,2004,M,M,1,1,NA,NA,69,Yes,0.07,0.02,NA,NA,0.1
Ski Racing 2005 Featuring Hermann Maier,JoWood Productions,Other,Sports,Sports,NA,2004,2004,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Ski Racing 2006 Featuring Hermann Maier,JoWood Productions,Other,Sports,Sports,NA,2005,2005,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Slam Tennis,Infogrames,Other,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Smashing Drive,Namco Bandai Games,Namco Bandai Games,Racing,Racing,NA,2002,2002,T,T,2,2,NA,NA,42,No,0.03,0.01,NA,NA,0.04
Sneakers,Microsoft Game Studios,Microsoft Game Studios,Puzzle,NA,Puzzle,2002,2002,E,E,1,1,NA,NA,28,Yes,0.07,0.02,NA,NA,0.1
Sniper Elite,Ubisoft,Ubisoft,Shooter,Shooter,NA,2005,2005,M,M,2,2,8,8,77,No,0.07,0.02,NA,NA,0.09
Soldier of Fortune II: Double Helix,Activision,Activision,Shooter,Shooter,NA,2003,2003,M,M,1,1,12,8,61,Yes,0.17,0.05,NA,0.01,0.23
Sonic Heroes,Sega,Sega,Platformer,NA,Platformer,2003,2003,E,E,2,2,NA,NA,73,No,0.41,0.43,0.01,0.05,0.9
Sonic Mega Collection Plus,Sega,Sega,Collection,NA,Collection,2004,2004,E,E,2,2,NA,NA,75,No,0.61,0.26,NA,0.04,0.91
Sonic Riders,Sega,Sega,Racing,Racing,NA,2006,2006,E,E,4,4,NA,NA,56,No,0.1,0.03,NA,NA,0.13
SoulCalibur II,Namco Bandai Games,Namco Bandai Games,Fighting,NA,Fighting,2003,2003,E,E,2,2,NA,NA,92,No,0.78,0.18,0.03,NA,1
Spartan: Total Warrior,Sega,Sega,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,73,No,0.1,0.03,NA,NA,0.13
Spawn: Armageddon,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2003,2003,M,M,1,1,NA,NA,57,No,0.13,0.04,NA,0.01,0.17
Special Forces: Nemesis Strike,Hip Interactive,Other,Shooter,Shooter,NA,2005,2005,M,M,2,2,10,8,60,Yes,0.03,0.01,NA,NA,0.03
Speed Kings,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,NA,2003,2003,E,E,4,4,NA,NA,60,No,0.04,0.01,NA,NA,0.05
Sphinx and the Cursed Mummy,THQ,THQ,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,79,No,0.09,0.02,NA,NA,0.12
Spider-Man 2,Activision,Activision,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,1,1,NA,NA,83,No,0.82,0.26,NA,0.04,1.12
Spider-Man: The Movie,Activision,Activision,ActionAdventure,ActionAdventure,NA,2002,2002,E,E,1,1,NA,NA,79,No,1.07,0.28,NA,0.05,1.4
Spikeout: Battle Street,Sega,Sega,ActionAdventure,ActionAdventure,NA,2005,2005,E,E,4,4,4,4,54,Yes,NA,NA,NA,NA,NA
SplashDown,Atari,Atari,Racing,Racing,NA,2002,2002,E,E,2,2,NA,NA,78,No,0.09,0.02,NA,NA,0.11
Splat Renegade Paintball,Take-Two Interactive,Take-Two Interactive,Sports,Sports,NA,2005,2005,T,T,2,2,14,8,44,No,0.04,0.01,NA,NA,0.06
SpongeBob SquarePants: Battle for Bikini Bottom,THQ,THQ,Platformer,NA,Platformer,2003,2003,E,E,1,1,NA,NA,70,No,0.45,0.1,NA,0.02,0.57
"SpongeBob SquarePants: Lights, Camera, Pants!",THQ,THQ,Party,NA,Party,2005,2005,E,E,4,4,NA,NA,57,No,0.19,0.06,NA,0.01,0.26
Spy Hunter,Midway Games,Midway Games,Racing,Racing,NA,2002,2002,T,T,2,2,NA,NA,71,No,0.25,0.07,NA,0.01,0.34
Spy Hunter 2,Midway Games,Midway Games,Racing,Racing,NA,2003,2003,T,T,2,2,NA,NA,57,No,0.1,0.03,NA,NA,0.13
Spy Hunter: Nowhere To Run,Midway Games,Midway Games,Racing,Racing,NA,2006,2006,T,T,1,1,NA,NA,51,No,NA,NA,NA,NA,0.01
Spy vs Spy,Global Star,Global Star,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,4,4,4,4,53,No,0.08,0.02,NA,NA,0.11
Spyro: A Hero's Tail,Vivendi Games,Vivendi Games,Platformer,NA,Platformer,2004,2004,E,E,1,1,NA,NA,64,No,0.11,0.03,NA,0.01,0.14
SRS: Street Racing Syndicate,Namco Bandai Games,Namco Bandai Games,Racing,Racing,NA,2004,2004,T,T,2,2,4,4,66,No,0.18,0.05,NA,0.01,0.24
SSX 3,Electronic Arts,Electronic Arts,Sports,Sports,NA,2003,2003,E,E,2,2,NA,NA,92,No,0.29,0.08,NA,0.01,0.39
SSX On Tour,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,2,2,NA,NA,91,No,0.11,0.03,NA,0.01,0.14
SSX Tricky,Electronic Arts,Electronic Arts,Sports,Sports,NA,2001,2002,E,E,2,2,NA,NA,88,No,0.32,0.09,NA,0.02,0.43
Stacked with Daniel Negreanu,Myelin Media,Other,Misc,NA,Misc,2006,2006,T,T,1,1,10,8,61,No,0.02,0.01,NA,NA,0.03
Stake: Fortune Fighters,Metro 3D,Other,Fighting,NA,Fighting,2003,2003,T,T,4,4,NA,NA,26,Yes,0.02,0.01,NA,NA,0.02
Star Trek: Shattered Universe,Global Star,Global Star,Simulation,NA,Simulation,2004,2004,E,E,1,1,NA,NA,41,No,0.03,0.01,NA,NA,0.04
Star Wars Battlefront,LucasArts,LucasArts,Shooter,Shooter,NA,2004,2004,T,T,4,4,16,16,80,No,1.24,0.45,NA,0.07,1.75
Star Wars Battlefront II,LucasArts,LucasArts,Shooter,Shooter,NA,2005,2005,T,T,4,4,32,16,83,No,1.22,0.39,NA,0.06,1.67
Star Wars Episode III: Revenge of the Sith,LucasArts,LucasArts,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,61,No,0.82,0.38,NA,0.04,1.24
Star Wars Jedi Knight II: Jedi Outcast,LucasArts,LucasArts,Shooter,Shooter,NA,2002,2002,T,T,2,2,NA,NA,81,No,0.23,0.07,NA,0.01,0.31
Star Wars Jedi Knight: Jedi Academy,LucasArts,LucasArts,Shooter,Shooter,NA,2003,2003,T,T,2,2,NA,NA,76,Yes,0.34,0.1,NA,0.02,0.45
Star Wars Knights of the Old Republic II: The Sith Lords,LucasArts,LucasArts,RPG,NA,RPG,2004,2004,T,T,1,1,NA,NA,86,Yes,0.99,0.33,NA,0.05,1.37
Star Wars Starfighter: Special Edition,LucasArts,LucasArts,Simulation,NA,Simulation,2001,2002,T,T,2,2,NA,NA,76,No,0.3,0.1,NA,0.02,0.42
Star Wars: Clone Wars,LucasArts,LucasArts,Shooter,Shooter,NA,2003,2003,T,T,4,4,8,8,71,No,0.1,0.03,NA,NA,0.13
Star Wars: Jedi Starfighter,LucasArts,LucasArts,Simulation,NA,Simulation,2002,2002,T,T,2,2,NA,NA,78,No,0.35,0.07,NA,0.02,0.44
Star Wars: Knights of the Old Republic,LucasArts,LucasArts,RPG,NA,RPG,2003,2003,T,T,1,1,NA,NA,94,Yes,1.68,0.44,NA,0.08,2.19
Star Wars: Obi-Wan,LucasArts,LucasArts,ActionAdventure,ActionAdventure,NA,2001,2002,T,T,2,2,NA,NA,58,Yes,0.52,0.16,NA,0.02,0.7
Star Wars: Republic Commando,LucasArts,LucasArts,Shooter,Shooter,NA,2005,2005,T,T,4,4,16,16,78,Yes,0.48,0.17,NA,0.02,0.67
Star Wars: The Clone Wars & Tetris Worlds,LucasArts,LucasArts,Collection,NA,Collection,2002,2002,T,T,4,4,8,8,NA,No,0.14,0.04,NA,0.01,0.19
Starsky & Hutch,Empire Interactive,Empire Interactive,Racing,Racing,NA,2003,2003,T,T,2,2,NA,NA,58,No,0.17,0.05,NA,0.01,0.23
State of Emergency,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,NA,2003,2003,M,M,4,4,NA,NA,67,No,0.13,0.04,NA,0.01,0.17
Steel Battalion,Capcom,Capcom,Simulation,NA,Simulation,2002,2002,T,T,1,1,NA,NA,83,Yes,0.05,0.02,0.02,NA,0.1
Steel Battalion: Line of Contact,Capcom,Capcom,Simulation,NA,Simulation,2004,2004,T,T,1,1,10,8,70,Yes,0.02,0.01,NA,NA,0.02
Still Life,Microids,Other,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,70,Yes,0.05,0.02,NA,NA,0.07
Stolen,Hip Interactive,Other,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,50,No,NA,NA,NA,NA,NA
Street Fighter Anniversary Collection,Capcom,Capcom,Fighting,NA,Fighting,2004,2004,T,T,2,2,2,2,79,No,0.11,0.03,NA,0.01,0.15
Street Hoops,Activision,Activision,Sports,Sports,NA,2002,2002,T,T,4,4,NA,NA,58,No,0.21,0.06,NA,0.01,0.28
Strike Force Bowling,Crave Entertainment,Other,Sports,Sports,NA,2004,2004,E,E,4,4,NA,NA,54,No,0.03,0.01,NA,NA,0.04
Stubbs the Zombie in Rebel Without a Pulse,THQ,THQ,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,2,2,NA,NA,75,Yes,0.08,0.02,NA,NA,0.11
Sudeki,Microsoft Game Studios,Microsoft Game Studios,RPG,NA,RPG,2004,2004,M,M,1,1,NA,NA,72,Yes,0.14,0.04,NA,0.01,0.19
Super Bubble Pop,Jaleco,Other,Puzzle,NA,Puzzle,2002,2002,E,E,2,2,NA,NA,42,No,0.01,NA,NA,NA,0.01
Super Monkey Ball Deluxe,Sega,Sega,Puzzle,NA,Puzzle,2005,2005,E,E,4,4,NA,NA,81,No,0.11,0.03,NA,0.01,0.15
Superman Returns,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2006,2006,T,T,1,1,NA,NA,51,No,NA,NA,NA,NA,NA
Superman: The Man of Steel,Atari,Atari,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,44,Yes,0.1,0.03,NA,NA,0.13
SVC Chaos: SNK vs. Capcom,Ignition Entertainment,Other,Fighting,NA,Fighting,2004,2004,T,T,2,2,2,2,57,No,0.08,0.02,NA,NA,0.1
SWAT: Global Strike Team,Vivendi Games,Vivendi Games,Shooter,Shooter,NA,2003,2003,M,M,4,4,NA,NA,69,No,0.13,0.04,NA,0.01,0.17
SX Superstar,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,NA,2003,2003,T,T,2,2,NA,NA,53,No,0.03,0.01,NA,NA,0.04
Syberia,Microids,Other,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,72,No,0.08,0.02,NA,NA,0.1
Syberia II,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,1,1,NA,NA,71,No,0.02,0.01,NA,NA,0.03
Taito Legends,Empire Interactive,Empire Interactive,Collection,NA,Collection,2005,2005,T,T,4,4,NA,NA,74,No,0.04,0.01,NA,NA,0.05
Tak 2: The Staff of Dreams,THQ,THQ,Platformer,NA,Platformer,2004,2004,E,E,2,2,NA,NA,73,No,0.1,0.03,NA,NA,0.13
Tak: The Great Juju Challenge,THQ,THQ,Platformer,NA,Platformer,2005,2005,E,E,2,2,NA,NA,75,No,0.05,0.02,NA,NA,0.07
Takahashi Akiko no Mahjong Seminar,Success,Other,Misc,NA,Misc,2002,2002,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Tao Feng: Fist of the Lotus,Microsoft Game Studios,Microsoft Game Studios,Fighting,NA,Fighting,2003,2003,M,M,2,2,NA,NA,65,Yes,0.21,0.06,NA,0.01,0.27
Taz Wanted,Atari,Atari,Platformer,NA,Platformer,2002,2002,E,E,2,2,NA,NA,62,No,0.05,0.02,NA,NA,0.07
Tecmo Classic Arcade,Tecmo Koei,Tecmo Koei,Collection,NA,Collection,2005,2005,E,E,4,4,NA,NA,55,Yes,0.05,0.01,NA,NA,0.06
Teen Titans,THQ,THQ,ActionAdventure,ActionAdventure,NA,2006,2006,E10,E,4,4,NA,NA,63,No,NA,NA,NA,NA,NA
Teenage Mutant Ninja Turtles,Konami Digital Entertainment,Konami Digital Entertainment,Platformer,NA,Platformer,2003,2003,E,E,2,2,NA,NA,56,No,0.22,0.06,NA,0.01,0.3
Teenage Mutant Ninja Turtles 2: Battle Nexus,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,2,2,NA,NA,48,No,0.1,0.03,NA,NA,0.13
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,NA,2005,2005,E10,E,4,4,NA,NA,56,No,0.03,0.01,NA,NA,0.04
Tenchu: Return From Darkness,Activision,Activision,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,2,2,2,2,70,Yes,0.16,0.05,NA,0.01,0.21
Tennis Masters Series 2003,Microids,Other,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,67,No,0.03,0.01,NA,NA,0.04
Terminator 3: Rise of the Machines,Atari,Atari,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,35,No,0.11,0.03,NA,0.01,0.14
Terminator 3: The Redemption,Atari,Atari,Shooter,Shooter,NA,2004,2004,T,T,2,2,NA,NA,66,No,0.05,0.01,NA,NA,0.06
Test Drive,Atari,Atari,Racing,Racing,NA,2002,2002,T,T,4,4,NA,NA,71,No,0.35,0.05,NA,0.02,0.42
