game,publisher,publisher2,genre,genre_ma,genre_mi,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
NBA Street V3,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,4,4,2,2,89,No,0.28,0.03,NA,0.01,0.32
NBA Street Vol. 2,Electronic Arts,Electronic Arts,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,89,No,0.62,0.04,NA,0.02,0.68
NCAA College Basketball 2K3,Sega,Sega,Sports,Sports,NA,2002,2002,E,E,4,4,2,2,84,No,0.11,0.03,NA,0.01,0.14
NCAA College Football 2K3,Sega,Sega,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,70,No,NA,NA,NA,NA,NA
NCAA Football 06,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,4,4,2,2,87,No,0.73,0.21,NA,0.03,0.97
NCAA Football 07,Electronic Arts,Electronic Arts,Sports,Sports,NA,2006,2006,E,E,4,4,2,2,88,No,0.42,0.12,NA,0.01,0.56
NCAA Football 08,Electronic Arts,Electronic Arts,Sports,Sports,NA,2007,2006,E,E,4,4,8,8,82,No,0.06,0.02,NA,NA,0.08
NCAA Football 2003,Electronic Arts,Electronic Arts,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,90,No,0.39,0.11,NA,0.02,0.52
NCAA Football 2004,Electronic Arts,Electronic Arts,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,88,No,0.4,0.02,NA,0.02,0.43
NCAA Football 2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,4,4,2,2,89,No,0.63,0.02,NA,0.03,0.68
NCAA March Madness 06,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,4,4,2,2,76,No,0.15,0.04,NA,0.01,0.2
NCAA March Madness 2004,Electronic Arts,Electronic Arts,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,81,No,0.18,0.05,NA,0.01,0.24
NCAA March Madness 2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,4,4,2,2,80,No,0.21,0.06,NA,0.01,0.28
Need for Speed Carbon,Electronic Arts,Electronic Arts,Racing,Racing,NA,2006,2006,E,E,2,2,NA,NA,74,No,0.35,0.1,NA,0.02,0.47
Need for Speed Underground,Electronic Arts,Electronic Arts,Racing,Racing,NA,2003,2003,E,E,2,2,NA,NA,83,No,1.09,0.55,NA,0.07,1.71
Need for Speed Underground 2,Electronic Arts,Electronic Arts,Racing,Racing,NA,2004,2004,E,E,2,2,6,4,77,No,1.38,0.8,NA,0.1,2.28
Need for Speed: Hot Pursuit 2,Electronic Arts,Electronic Arts,Racing,Racing,NA,2002,2002,E,E,2,2,NA,NA,75,No,0.68,0.11,NA,0.03,0.82
Need for Speed: Most Wanted,Electronic Arts,Electronic Arts,Racing,Racing,NA,2005,2005,T,T,2,2,4,4,83,No,0.53,0.46,NA,0.05,1.04
Neighbours From Hell,JoWood Productions,Other,Strategy,NA,Strategy,2005,2005,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
New Legends,THQ,THQ,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,56,Yes,0.07,0.02,NA,NA,0.09
NFL 2K2,Sega,Sega,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,87,No,0.13,0.04,NA,0.01,0.18
NFL 2K3,Sega,Sega,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,NA,No,0.38,0.11,NA,0.02,0.52
NFL Blitz 20-02,Midway Games,Midway Games,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,77,No,0.07,0.02,NA,NA,0.09
NFL Blitz 20-03,Midway Games,Midway Games,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,72,No,0.11,0.03,NA,0.01,0.14
NFL Blitz Pro,Midway Games,Midway Games,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,71,No,0.04,0.01,NA,NA,0.05
NFL Fever 2002,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2001,2002,E,E,4,4,NA,NA,79,Yes,0.74,0.21,NA,0.04,0.99
NFL Fever 2003,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2002,2002,E,E,4,4,4,4,72,Yes,0.46,0.13,NA,0.02,0.61
NFL Fever 2004,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2003,2003,E,E,4,4,4,4,74,Yes,0.24,0.07,NA,0.01,0.32
NFL Head Coach,Electronic Arts,Electronic Arts,Sports,Sports,NA,2006,2006,E,E,1,1,2,2,69,No,0.09,0.03,NA,NA,0.12
NFL Street,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,4,4,NA,NA,81,No,0.49,0.15,NA,0.02,0.66
NFL Street 2,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,4,4,4,4,78,No,0.36,0.11,NA,0.02,0.48
NHL 06,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E10,E,4,4,8,8,79,No,0.19,0.05,NA,0.01,0.25
NHL 07,Electronic Arts,Electronic Arts,Sports,Sports,NA,2006,2006,E,E,4,4,4,4,75,No,0.02,0.01,NA,NA,0.03
NHL 2002,Electronic Arts,Electronic Arts,Sports,Sports,NA,2001,2002,E,E,4,4,NA,NA,89,No,0.2,0.06,NA,0.01,0.27
NHL 2003,Electronic Arts,Electronic Arts,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,80,No,0.15,0.04,NA,0.01,0.21
NHL 2004,Electronic Arts,Electronic Arts,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,85,No,0.13,0.04,NA,0.01,0.18
NHL 2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,4,4,2,2,77,No,0.12,0.03,NA,0.01,0.16
NHL 2K3,Sega,Sega,Sports,Sports,NA,2002,2002,E,E,4,4,4,4,89,No,0.09,0.02,NA,NA,0.12
NHL 2K6,Take-Two Interactive,Take-Two Interactive,Sports,Sports,NA,2005,2005,E10,E,4,4,8,8,83,No,0.16,0.05,NA,0.01,0.21
NHL 2K7,Take-Two Interactive,Take-Two Interactive,Sports,Sports,NA,2006,2006,E10,E,4,4,8,8,78,No,0.01,NA,NA,NA,0.01
NHL Hitz 20-02,Midway Games,Midway Games,Sports,Sports,NA,2001,2002,E,E,4,4,NA,NA,79,No,0.2,0.06,NA,0.01,0.27
NHL Hitz 20-03,Midway Games,Midway Games,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,81,No,0.08,0.02,NA,NA,0.11
NHL Hitz Pro,Midway Games,Midway Games,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,81,No,0.05,0.01,NA,NA,0.07
NHL Rivals 2004,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2003,2003,E,E,4,4,10,8,65,Yes,0.08,0.02,NA,NA,0.11
Nickelodeon Party Blast,Infogrames,Other,Party,NA,Party,2002,2002,E,E,4,4,NA,NA,19,No,0.16,0.05,NA,0.01,0.22
