game,publisher,publisher2,genre,genre2,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
Spy Hunter: Nowhere To Run,Midway Games,Midway Games,Racing,Racing,2006,2006,T,T,1,1,NA,NA,51,No,0.01,0.01,NA,NA,0.02
Spyro: A Hero's Tail,Vivendi Games,Vivendi Games,Platformer,Platformer,2004,2004,E,E,1,1,NA,NA,60,No,0.32,0.25,NA,0.08,0.64
Spyro: Enter the Dragonfly,Universal Interactive,Other,Platformer,Platformer,2002,2002,E,E,1,1,NA,NA,56,No,0.74,0.95,NA,0.28,1.97
SRS: Street Racing Syndicate,Namco Bandai Games,Namco Bandai Games,Racing,Racing,2004,2004,T,T,4,4,NA,NA,62,No,0.26,0.21,NA,0.07,0.54
SSX,Electronic Arts,Electronic Arts,Sports,Sports,2000,2001,E,E,2,2,NA,NA,93,Yes,0.78,0.61,0.06,0.2,1.66
SSX 3,Electronic Arts,Electronic Arts,Sports,Sports,2003,2003,E,E,2,2,NA,NA,93,No,0.93,0.52,NA,0.22,1.67
SSX On Tour,Electronic Arts,Electronic Arts,Sports,Sports,2005,2005,E10,E,2,2,NA,NA,80,No,0.25,0.2,NA,0.07,0.52
SSX Tricky,Electronic Arts,Electronic Arts,Sports,Sports,2001,2001,E,E,2,2,NA,NA,92,No,0.85,0.66,NA,0.22,1.73
Stacked with Daniel Negreanu,Myelin Media,Other,Misc,Misc,2006,2006,T,T,1,1,10,8,63,No,0.04,0.03,NA,0.01,0.07
Star Ocean: Till The End of Time,Ubisoft,Ubisoft,RPG,RPG,2003,2003,T,T,2,2,NA,NA,80,Yes,0.8,0.21,0.55,0.15,1.72
Star Trek: Conquest,Bethesda Softworks,Other,Strategy,Strategy,2007,2007,E,E,1,1,NA,NA,54,Yes,0.06,0.04,NA,0.01,0.11
Star Trek: Shattered Universe,Global Star,Other,Simulation,Simulation,2004,2004,E,E,1,1,NA,NA,42,No,0.05,0.04,NA,0.01,0.1
Star Trek: Voyager Elite Force,Codemasters,Codemasters,Shooter,Shooter,2001,2001,T,T,4,4,NA,NA,52,Yes,0.07,0.06,NA,0.02,0.15
Star Wars Battlefront,LucasArts,LucasArts,Shooter,Shooter,2004,2004,T,T,2,2,16,16,82,No,1.93,1.22,0.03,0.44,3.61
Star Wars Battlefront II,LucasArts,LucasArts,Shooter,Shooter,2005,2005,T,T,2,2,32,16,84,No,2.18,1.02,0.03,0.37,3.59
Star Wars Episode III: Revenge of the Sith,LucasArts,LucasArts,ActionAdventure,ActionAdventure,2005,2005,T,T,2,2,NA,NA,60,No,1.47,1.39,0.03,0.43,3.32
Star Wars Racer Revenge,LucasArts,LucasArts,Racing,Racing,2002,2002,E,E,2,2,NA,NA,73,No,0.15,0.12,NA,0.04,0.31
Star Wars The Clone Wars: Republic Heroes,LucasArts,LucasArts,ActionAdventure,ActionAdventure,2009,2009,T,T,2,2,NA,NA,NA,No,0.17,0.01,NA,0.08,0.25
Star Wars: Bounty Hunter,LucasArts,LucasArts,Shooter,Shooter,2002,2002,T,T,1,1,NA,NA,65,No,0.53,0.42,NA,0.14,1.09
Star Wars: Clone Wars,LucasArts,LucasArts,Shooter,Shooter,2002,2002,T,T,2,2,NA,NA,72,No,0.24,0.19,NA,0.06,0.5
Star Wars: Jedi Starfighter,LucasArts,LucasArts,Simulation,Simulation,2002,2002,T,T,2,2,NA,NA,81,No,0.24,0.19,NA,0.06,0.5
Star Wars: Starfighter,LucasArts,LucasArts,Simulation,Simulation,2001,2001,T,T,1,1,NA,NA,84,No,0.61,0.87,0.02,0.26,1.76
Star Wars: Super Bombad Racing,LucasArts,LucasArts,Racing,Racing,2001,2001,T,T,2,2,NA,NA,72,Yes,0.08,0.06,NA,0.02,0.16
Star Wars: The Force Unleashed,LucasArts,LucasArts,ActionAdventure,ActionAdventure,2008,2008,T,T,1,1,NA,NA,68,No,0.49,NA,0.01,0.75,1.25
Starsky & Hutch,Empire Interactive,Empire Interactive,Racing,Racing,2003,2003,T,T,2,2,NA,NA,60,No,0.45,0.35,NA,0.12,0.92
State of Emergency,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,2002,2002,M,M,1,1,NA,NA,71,No,0.86,0.67,NA,0.22,1.76
State of Emergency 2,SouthPeak Games,Other,Shooter,Shooter,2006,2006,M,M,4,4,NA,NA,44,Yes,0.04,0.03,NA,0.01,0.08
Steambot Chronicles,505 Games,505 Games,RPG,RPG,2005,2005,T,T,2,2,NA,NA,74,Yes,0.02,0.01,NA,NA,0.04
Stella Deus: The Gate of Eternity,505 Games,505 Games,Strategy,Strategy,2004,2004,T,T,1,1,NA,NA,75,Yes,0.04,0.03,NA,0.01,0.08
Stolen,Hip Interactive,Other,ActionAdventure,ActionAdventure,2005,2005,T,T,1,1,NA,NA,51,No,0.02,0.01,NA,NA,0.04
Street Fighter Alpha Anthology,Capcom,Capcom,Fighting,Fighting,2006,2006,T,T,2,2,NA,NA,79,Yes,0.11,0.08,0.02,0.03,0.24
Street Fighter Anniversary Collection,Capcom,Capcom,Fighting,Fighting,2004,2004,T,T,2,2,NA,NA,78,No,0.32,0.25,NA,0.08,0.66
Street Fighter EX3,Virgin Interactive,Other,Fighting,Fighting,2000,2001,T,T,2,2,NA,NA,64,Yes,0.32,0.25,0.2,0.08,0.85
Street Hoops,Activision,Activision,Sports,Sports,2002,2002,T,T,4,4,NA,NA,62,No,0.45,0.35,NA,0.12,0.91
Stretch Panic,Midas Interactive Entertainment,Midas Interactive Entertainment,Platformer,Platformer,2001,2001,T,T,1,1,NA,NA,65,Yes,0.02,0.02,NA,0.01,0.05
Strike Force Bowling,Play It,Other,Sports,Sports,2004,2004,E,E,4,4,NA,NA,48,No,0.3,0.24,NA,0.08,0.62
Strike Witches: Anata to Dekiru Koto - A Little Peaceful Days,Russel,Other,ActionAdventure,ActionAdventure,2010,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Stuart Little 3: Big Photo Adventure,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2005,2005,E,E,1,1,NA,NA,71,Yes,0.04,0.03,NA,0.01,0.08
Stunt GP,Titus,Other,Racing,Racing,2001,2001,E,E,2,2,NA,NA,49,Yes,0.02,0.02,NA,0.01,0.05
Stuntman,Atari,Atari,Racing,Racing,2002,2002,T,T,1,1,NA,NA,71,Yes,0.76,0.59,NA,0.2,1.55
Stuntman: Ignition,THQ,THQ,Racing,Racing,2007,2007,T,T,4,4,NA,NA,71,Yes,0.13,0.1,NA,0.03,0.27
Sub Rebellion,Metro 3D,Other,Simulation,Simulation,2002,2002,T,T,1,1,NA,NA,71,Yes,0.04,0.03,NA,0.01,0.08
Sugar + Spice! Anoko no Suteki na Nanimokamo,Alchemist,Other,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Suggoi! Arcana Heart 2,AQ Interactive,Other,Fighting,Fighting,2009,2009,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.03,NA,0.03
Suikoden III,Konami Digital Entertainment,Konami Digital Entertainment,RPG,RPG,2002,2002,T,T,1,1,NA,NA,86,Yes,0.29,0.23,0.38,0.08,0.98
Suikoden IV,Konami Digital Entertainment,Konami Digital Entertainment,RPG,RPG,2004,2004,T,T,1,1,NA,NA,63,Yes,0.17,0.13,0.3,0.05,0.66
Suikoden Tactics,Konami Digital Entertainment,Konami Digital Entertainment,Strategy,Strategy,2005,2005,T,T,1,1,NA,NA,68,Yes,0.06,0.05,0.07,0.02,0.2
Suikoden V,Konami Digital Entertainment,Konami Digital Entertainment,RPG,RPG,2006,2006,T,T,1,1,NA,NA,76,Yes,0.08,0.06,0.19,0.02,0.35
Summer Athletics: The Ultimate Challenge,DTP Entertainment,Other,Sports,Sports,2008,2008,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,0.18,0.18
Summer Heat Beach Volleyball,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2003,2003,T,T,4,4,NA,NA,65,Yes,0.14,0.11,NA,0.04,0.28
Summon Night 3,Banpresto,Banpresto,RPG,RPG,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.24,NA,0.24
Summon Night 4,Banpresto,Banpresto,RPG,RPG,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.18,NA,0.18
Summon Night EX-Thesis: Yoake no Tsubasa,Banpresto,Banpresto,RPG,RPG,2005,2005,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.16,NA,0.16
Summon Night Granthese: Horobi no Ken to Yakusoku no Kishi,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2010,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Summoner,THQ,THQ,RPG,RPG,2000,2001,T,T,1,1,NA,NA,74,Yes,0.25,0.2,NA,0.07,0.51
Summoner 2,THQ,THQ,RPG,RPG,2002,2002,T,T,1,1,NA,NA,76,Yes,0.1,0.08,NA,0.03,0.21
Sunny Garcia Surfing,Ubisoft,Ubisoft,Sports,Sports,2001,2001,E,E,4,4,NA,NA,61,Yes,0.02,0.01,NA,NA,0.03
Sunrise Eiyuutan R,Sunrise Interactive,Other,RPG,RPG,2000,2001,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.06,NA,0.06
Super Bust-A-Move,Acclaim Entertainment,Acclaim Entertainment,Puzzle,Other,2000,2001,E,E,2,2,NA,NA,75,Yes,0.17,0.13,NA,0.04,0.34
Super Dragon Ball Z,Atari,Atari,Fighting,Fighting,2006,2006,T,T,2,2,NA,NA,72,Yes,0.09,0.07,0.19,0.02,0.37
Super Monkey Ball Adventure,Sega,Sega,Platformer,Platformer,2006,2006,E,E,4,4,NA,NA,53,No,0.01,0.01,NA,NA,0.03
Super Monkey Ball Deluxe,Sega,Sega,Puzzle,Other,2005,2005,E,E,4,4,NA,NA,78,No,0.12,0.09,NA,0.03,0.24
