game,publisher,publisher2,genre,genre2,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
Chaos Legion,Capcom,Capcom,ActionAdventure,ActionAdventure,2003,2003,T,T,1,1,NA,NA,65,Yes,0.15,0.12,NA,0.04,0.3
Chaos Wars,Idea Factory,Idea Factory,Strategy,Strategy,2006,2006,T,T,1,1,NA,NA,64,Yes,NA,NA,0.04,NA,0.04
Charlie and the Chocolate Factory,Global Star,Other,ActionAdventure,ActionAdventure,2005,2005,E,E,1,1,NA,NA,35,No,0.17,0.13,NA,0.04,0.35
Charlie's Angels,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2003,2003,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Charlotte's Web,Blast! Entertainment Ltd,Other,ActionAdventure,ActionAdventure,2007,2007,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Chegger's Party Quiz,Oxygen Interactive,Other,Party,Other,2007,2007,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Chemist Tycoon,Phoenix Games,Phoenix Games,Strategy,Strategy,2006,2006,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Chess Crusade,Zoo Digital Publishing,Other,Misc,Misc,2008,2008,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Chessmaster,Ubisoft,Ubisoft,Misc,Misc,2003,2003,E,E,2,2,2,2,79,No,0.19,0.15,NA,0.05,0.39
Cho Aniki: Sei Naru Protein Densetsu,Global A Entertainment,Other,Shooter,Shooter,2003,2003,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Chobits - Chiidake no Hito,Broccoli,Other,JAdventure,JAdventure,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Choro Q,Zoo Digital Publishing,Other,Racing,Racing,2003,2003,E,E,2,2,NA,NA,48,Yes,0.01,0.01,NA,NA,0.02
Choro Q Works,Atlus,Atlus,Racing,Racing,2005,2005,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Choujikuu Yousai Macross,Namco Bandai Games,Namco Bandai Games,Shooter,Shooter,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Chulip,Victor Interactive,Other,ActionAdventure,ActionAdventure,2002,2002,T,T,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
CID The Dummy,Oxygen Interactive,Other,Platformer,Platformer,2009,2009,E10,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Circus Maximus: Chariot Wars,THQ,THQ,Racing,Racing,2002,2002,T,T,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
City Crisis,Take-Two Interactive,Take-Two Interactive,Simulation,Simulation,2001,2001,E,E,1,1,NA,NA,63,Yes,0.06,0.05,NA,0.02,0.13
City Soccer Challenge,Phoenix Games,Phoenix Games,Sports,Sports,2006,2006,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Clannad,Interchannel,Other,JAdventure,JAdventure,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.04,NA,0.04
Clear: Atarashii Kaze no Fuku Oka de,Sweets,Other,JAdventure,JAdventure,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Clever Kids: Dino Land,Midas Interactive Entertainment,Midas Interactive Entertainment,Misc,Misc,2007,2007,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Clever Kids: Pony World,Midas Interactive Entertainment,Midas Interactive Entertainment,Misc,Misc,2007,2007,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Clock Tower 3,Capcom,Capcom,ActionAdventure,ActionAdventure,2002,2002,M,M,1,1,NA,NA,69,Yes,0.1,0.08,0.12,0.03,0.33
Clock Zero: Shuuen no Ichibyou,Idea Factory,Idea Factory,JAdventure,JAdventure,2010,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Clover Heart's: Looking for Happiness,NEC Interchannel,NEC Other,JAdventure,JAdventure,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Clover no Kuni no Alice,Prototype,Other,JAdventure,JAdventure,2010,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Club Football,Codemasters,Codemasters,Sports,Sports,2003,2003,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Club Football 2005,Codemasters,Codemasters,Sports,Sports,2004,2004,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
CMT Presents: Karaoke Revolution Country,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2006,2006,E,E,4,4,NA,NA,71,Yes,0.03,0.02,NA,0.01,0.06
Cocoto Fishing Master,Big Ben Interactive,Other,Sports,Sports,2004,2004,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Cocoto Kart Racer,Big Ben Interactive,Other,Racing,Racing,2005,2005,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Cocoto Platform Jumper,Big Ben Interactive,Other,Platformer,Platformer,2004,2004,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Code Age Commanders,Square Enix,Square Enix,RPG,RPG,2005,2005,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Code Geass: Hangyaku no Lelouch - Lost Colors,Namco Bandai Games,Namco Bandai Games,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.06,NA,0.06
Code Lyoko: Quest for Infinity,Game Factory,Other,ActionAdventure,ActionAdventure,2008,2008,E10,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,Global Star,Other,Platformer,Platformer,2005,2005,E,E,1,1,NA,NA,49,No,0.05,0.04,NA,0.01,0.1
Cold Fear,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2005,2005,M,M,1,1,NA,NA,68,No,0.06,0.04,NA,0.01,0.11
Cold Winter,Vivendi Games,Vivendi Games,Shooter,Shooter,2005,2005,M,M,4,4,8,8,73,Yes,0.06,0.04,NA,0.01,0.11
Colin McRae Rally 04,Codemasters,Codemasters,Racing,Racing,2003,2003,E,E,2,2,NA,NA,NA,No,0.01,0.71,0.01,0.21,0.94
Colin McRae Rally 3,Codemasters,Codemasters,Racing,Racing,2002,2002,E,E,2,2,NA,NA,86,No,0.03,1.05,0.02,0.3,1.4
College Hoops 2K6,Visual Concepts,Other,Sports,Sports,2005,2005,E,E,4,4,10,8,77,No,0.12,0.1,NA,0.03,0.25
College Hoops 2K7,Take-Two Interactive,Take-Two Interactive,Sports,Sports,2006,2006,E,E,4,4,10,8,NA,No,NA,NA,NA,NA,NA
College Hoops 2K8,Take-Two Interactive,Take-Two Interactive,Sports,Sports,2007,2007,E,E,4,4,10,8,66,Yes,0.17,0.13,NA,0.04,0.35
Colorful Aquarium: My Little Mermaid,Nine'sFox,Other,JAdventure,JAdventure,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Colosseum: Road to Freedom,Tecmo Koei,Tecmo Koei,RPG,RPG,2005,2005,M,M,2,2,NA,NA,56,Yes,0.03,0.03,NA,0.01,0.07
Combat Ace,Phoenix Games,Phoenix Games,ActionAdventure,ActionAdventure,2006,2006,T,T,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Combat Elite: WWII Paratroopers,SouthPeak Games,Other,Shooter,Shooter,2005,2005,T,T,2,2,NA,NA,54,No,0.03,0.02,NA,0.01,0.06
Combat Queen,Taito,Other,ActionAdventure,ActionAdventure,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Commandos 2: Men of Courage,Eidos Interactive,Eidos Interactive,Strategy,Strategy,2002,2002,T,T,1,1,NA,NA,67,No,0.09,0.07,NA,0.02,0.18
Commandos: Strike Force,Eidos Interactive,Eidos Interactive,Shooter,Shooter,2006,2006,T,T,1,1,8,8,58,No,0.03,0.02,NA,0.01,0.06
Conan,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,2004,2004,M,M,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Conflict Zone,Ubisoft,Ubisoft,Strategy,Strategy,2002,2002,T,T,1,1,NA,NA,47,Yes,0.1,0.08,NA,0.03,0.21
Conflict: Desert Storm,Gotham Games,Other,Shooter,Shooter,2002,2002,T,T,2,2,NA,NA,55,No,0.98,0.53,NA,0.06,1.57
Conflict: Desert Storm II - Back to Bagdhad,SCi,Other,Shooter,Shooter,2003,2003,T,T,2,2,NA,NA,70,No,0.38,0.29,NA,0.1,0.77
Conflict: Global Terror,Eidos Interactive,Eidos Interactive,Shooter,Shooter,2005,2005,M,M,4,4,4,4,62,No,0.09,0.07,NA,0.02,0.19
Conflict: Vietnam,SCi,Other,Shooter,Shooter,2004,2004,M,M,2,2,NA,NA,58,No,0.26,0.2,NA,0.07,0.53
Conspiracy: Weapons of Mass Destruction,Oxygen Interactive,Other,Shooter,Shooter,2005,2005,T,T,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Constantine,SCi,Other,ActionAdventure,ActionAdventure,2005,2005,M,M,1,1,NA,NA,58,No,0.05,0.04,NA,0.01,0.11
Contra: Shattered Soldier,Konami Digital Entertainment,Konami Digital Entertainment,Shooter,Shooter,2002,2002,T,T,2,2,NA,NA,78,Yes,0.28,0.22,NA,0.07,0.58
Cool Boarders 2001,Sony Computer Entertainment,Sony Computer Entertainment,Sports,Sports,2001,2001,E,E,2,2,NA,NA,78,Yes,0.16,0.13,NA,0.04,0.33
Cool Boarders: Code Alien,UEP Systems,Other,Sports,Sports,2000,2001,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Cool Shot,Phoenix Games,Phoenix Games,Sports,Sports,2003,2003,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Coraline,D3Publisher,D3Publisher,ActionAdventure,ActionAdventure,2009,2009,E10,E,1,1,NA,NA,39,Yes,0.06,0.04,NA,0.01,0.11
Corvette,Take-Two Interactive,Take-Two Interactive,Racing,Racing,2004,2004,E,E,2,2,NA,NA,57,No,0.65,0.51,NA,0.17,1.33
Corvette Evolution GT,Black Bean Games,Other,Racing,Racing,2006,2006,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Counter Terrorist Special Forces: Fire for Effect,LSP Games,Other,Shooter,Shooter,2005,2005,T,T,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Cowboy Bebop: Tsuioku no Serenade,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2005,2005,T,T,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Crash Bandicoot: The Wrath of Cortex,Universal Interactive,Other,Platformer,Platformer,2001,2001,E,E,1,1,NA,NA,66,No,2.07,2.29,0.24,0.82,5.42
Crash 'N' Burn,Eidos Interactive,Eidos Interactive,Racing,Racing,2004,2004,T,T,1,1,16,16,63,No,0.11,0.08,NA,0.03,0.21
Crash Nitro Kart,Vivendi Games,Vivendi Games,Racing,Racing,2003,2003,E,E,4,4,NA,NA,69,No,0.74,1.01,NA,0.2,1.95
Crash of the Titans,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,2007,2007,E10,E,2,2,NA,NA,70,Yes,0.34,0.01,NA,0.06,0.41
Crash Tag Team Racing,Vivendi Games,Vivendi Games,Racing,Racing,2005,2005,E10,E,2,2,8,8,66,No,0.27,0.21,NA,0.07,0.54
Crash: Mind Over Mutant,Vivendi Games,Vivendi Games,Platformer,Platformer,2008,2008,E10,E,1,1,NA,NA,73,Yes,0.25,0.19,NA,0.06,0.5
Crash: Twinsanity,Vivendi Games,Vivendi Games,Platformer,Platformer,2004,2004,E,E,1,1,NA,NA,64,No,0.32,0.25,NA,0.08,0.64
Crashed,Rage Software,Other,Racing,Racing,2002,2002,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Crazy Golf,Phoenix Games,Phoenix Games,Sports,Sports,2005,2005,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Crazy Taxi,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2001,2001,T,T,1,1,NA,NA,80,No,1.13,1.12,0.06,0.22,2.52
Cricket 07,Electronic Arts,Electronic Arts,Sports,Sports,2006,2006,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Cricket 2002,Electronic Arts,Electronic Arts,Sports,Sports,2002,2002,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Cricket 2005,Electronic Arts,Electronic Arts,Sports,Sports,2005,2005,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Crime Life: Gang Wars,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,2005,2005,M,M,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Crimson Empire,Quinrose,Other,ActionAdventure,ActionAdventure,2010,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Crimson Sea 2,Tecmo Koei,Tecmo Koei,ActionAdventure,ActionAdventure,2004,2004,T,T,2,2,NA,NA,75,Yes,0.03,0.03,NA,0.01,0.07
Crimson Tears,Capcom,Capcom,RPG,RPG,2004,2004,T,T,1,1,NA,NA,62,Yes,0.02,0.01,NA,NA,0.03
Critical Velocity,Namco Bandai Games,Namco Bandai Games,Racing,Racing,2005,2005,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Cross Channel: To All People,KID,KID,JAdventure,JAdventure,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
"Crouching Tiger, Hidden Dragon",Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2003,2003,T,T,1,1,NA,NA,48,No,0.06,0.05,NA,0.02,0.13
Crusty Demons,Deep Silver,Other,Racing,Racing,2006,2006,M,M,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
CSI: 3 Dimensions of Murder,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2007,2007,M,M,1,1,NA,NA,NA,Yes,0.07,0.06,NA,0.02,0.14
Cubix Robots for Everyone: Showdown,3DO,Other,ActionAdventure,ActionAdventure,2003,2003,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Culdcept,Sega,Sega,Strategy,Strategy,2002,2002,T,T,4,4,NA,NA,78,Yes,0.01,0.01,NA,NA,0.03
Curious George,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2006,2006,E,E,1,1,NA,NA,53,No,0.06,0.05,NA,0.02,0.12
Curse: The Eye of Isis,Wanadoo,Other,ActionAdventure,ActionAdventure,2004,2004,M,M,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Cy Girls,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,2004,2004,M,M,1,1,NA,NA,53,Yes,0.02,0.01,NA,NA,0.04
Cyber Troopers Virtual-On Marz,Sega,Sega,Fighting,Fighting,2003,2003,T,T,2,2,NA,NA,NA,Yes,0.02,0.01,NA,NA,0.04
Cybernator,NCS,Other,Shooter,Shooter,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Cyclone Circus,Playlogic Game Factory,Playlogic Other,Racing,Racing,2006,2006,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
D.C. II P.S.: Da Capo II Plus Situation,Kadokawa Shoten,Other,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.06,NA,0.06
D.C.: Da Capo - The Origin,Sweets,Other,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
D.C.F.S.: Da Capo Four Seasons,Kadokawa Shoten,Other,JAdventure,JAdventure,2005,2005,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.04,NA,0.04
D.C.I.F.: Da Capo Innocent Finale,Sweets,Other,JAdventure,JAdventure,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.03,NA,0.03
D.C.P.S.: Da Capo Plus Situation,ESP,Other,JAdventure,JAdventure,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
D.Gray-man: Sousha no Shikaku,Konami Digital Entertainment,Konami Digital Entertainment,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
D.N.Angel: Kurenai no Tsubasa,Takara,Other,JAdventure,JAdventure,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
D1 Professional Drift Grand Prix Series,Yuke's,Other,Racing,Racing,2005,2005,E10,E,2,2,NA,NA,45,Yes,0.01,0.01,NA,NA,0.03
Daemon Summoner,Midas Interactive Entertainment,Midas Interactive Entertainment,Shooter,Shooter,2006,2006,M,M,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dai Senryaku VII: Exceed,System Soft,Other,Strategy,Strategy,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dai-2-Ji Super Robot Taisen ?ñ,Banpresto,Banpresto,Strategy,Strategy,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.6,NA,0.6
Dai-3-Ji Super Robot Taisen ?ñ: Shuuen no Ginga e,Banpresto,Banpresto,Strategy,Strategy,2005,2005,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.59,NA,0.59
Daisenryaku: Dai Toua Kouboushi - Tora Tora Tora Ware Kishuu Ni Seikou Seri,System Soft,Other,Strategy,Strategy,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Daito Giken Koushiki Pachi-Slot Simulator: 24 - Twenty-Four,Paon,Other,Misc,Misc,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,Daito,Other,Misc,Misc,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.11,NA,0.11
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou,Daito,Other,Misc,Misc,2005,2005,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Daito Giken Koushiki Pachi-Slot Simulator: Shake II,Paon,Other,Misc,Misc,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.04,NA,0.04
Daito Giken Koushiki Pachi-Slot Simulator: Shin Yoshimune,Paon,Other,Misc,Misc,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.06,NA,0.06
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune,Daito,Other,Misc,Misc,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Daito Giken Premium Pachi-Slot Collection: Yoshimune,Daito,Other,Misc,Misc,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.03,NA,0.03
Dakar 2,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2003,2003,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Dalmatians 3,Phoenix Games,Phoenix Games,Misc,Misc,2005,2005,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dance Dance Revolution Extreme,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,2,2,NA,NA,77,Yes,1.04,0.81,NA,0.27,2.13
Dance Dance Revolution Extreme 2,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2005,2005,E,E,2,2,2,2,76,Yes,0.95,0.04,NA,0.16,1.14
Dance Dance Revolution Party Collection,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2003,2003,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dance Dance Revolution Strike,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2006,2006,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dance Dance Revolution SuperNOVA,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2006,2006,E,E,2,2,2,2,73,Yes,0.87,0.03,NA,0.14,1.04
Dance Dance Revolution SuperNOVA 2,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2007,2007,E10,E,2,2,4,4,70,Yes,0.64,0.03,0.02,0.1,0.79
Dance Dance Revolution X,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2008,2008,E10,E,4,4,8,8,55,Yes,0.85,0.66,0.01,0.22,1.75
Dance Dance Revolution X2,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2009,2009,E10,E,4,4,8,8,NA,Yes,1.09,0.85,NA,0.28,2.23
Dance Dance Revolution: Disney Channel Edition,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2008,2008,E,E,4,4,NA,NA,61,Yes,0.12,0.09,NA,0.03,0.24
Dance Factory,Codemasters,Codemasters,Music,Music,2006,2006,E,E,4,4,NA,NA,56,Yes,0.02,0.01,NA,NA,0.03
Dance Fest,Oxygen Interactive,Other,Music,Music,2006,2006,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dance Party: Club Hits,Nordic Games,Other,Music,Music,2009,2009,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dance Party: Pop Hits,Nordic Games,Other,Music,Music,2009,2009,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dance Summit 2001: Bust A Move,Square Enix,Square Enix,Music,Music,2000,2001,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dance: UK,Big Ben Interactive,Other,Music,Music,2003,2003,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Dance: UK eXtra Trax,Big Ben Interactive,Other,Music,Music,2004,2004,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dance: UK XL,Jester Interactive,Other,Music,Music,2005,2005,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dance: UK XL Party,Jester Interactive,Other,Music,Music,2005,2005,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dancing Stage Fever,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2003,2003,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dancing Stage Fusion,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dancing Stage Max,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2005,2005,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dancing With The Stars,Activision,Activision,Music,Music,2007,2007,E10,E,2,2,NA,NA,NA,Yes,0.08,0.06,NA,0.02,0.16
Dark Angel: Vampire Apocalypse,Metro 3D,Other,RPG,RPG,2001,2001,T,T,1,1,NA,NA,53,Yes,0.04,0.03,NA,0.01,0.09
Dark Cloud,Sony Computer Entertainment,Sony Computer Entertainment,RPG,RPG,2000,2001,T,T,1,1,NA,NA,80,Yes,0.83,0.44,0.08,0.19,1.54
Dark Cloud 2,Sony Computer Entertainment,Sony Computer Entertainment,RPG,RPG,2002,2002,T,T,1,1,NA,NA,87,Yes,0.38,0.25,0.26,0.07,0.96
Dark Summit,THQ,THQ,Sports,Sports,2001,2001,T,T,2,2,NA,NA,67,No,0.11,0.08,NA,0.03,0.21
Darkwatch,Ubisoft,Ubisoft,Shooter,Shooter,2005,2005,M,M,4,4,NA,NA,74,No,0.16,0.12,NA,0.04,0.32
Dave Mirra Freestyle BMX 2,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2001,2001,T,T,2,2,NA,NA,81,No,0.67,0.53,NA,0.18,1.38
David Douillet Judo,Big Ben Interactive,Other,Fighting,Fighting,2007,2007,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Dawn of Mana,Square Enix,Square Enix,RPG,RPG,2006,2006,T,T,1,1,NA,NA,57,Yes,0.07,0.05,0.29,0.02,0.43
DDR Festival: Dance Dance Revolution,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
DDRMAX: Dance Dance Revolution,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2002,2002,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
DDRMAX: Dance Dance Revolution 6th Mix,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2002,2002,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
DDRMAX2: Dance Dance Revolution,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2003,2003,E,E,2,2,NA,NA,82,Yes,1.05,0.59,NA,0.18,1.81
DDRMAX2: Dance Dance Revolution 7th Mix,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2003,2003,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dead Eye Jim,Phoenix Games,Phoenix Games,ActionAdventure,ActionAdventure,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Dead or Alive 2,Tecmo Koei,Tecmo Koei,Fighting,Fighting,2000,2001,T,T,2,2,NA,NA,NA,Yes,0.3,0.24,0.38,0.08,1
Dead to Rights,Electronic Arts,Electronic Arts,Shooter,Shooter,2002,2002,M,M,1,1,NA,NA,73,No,0.67,0.52,NA,0.17,1.36
Dead to Rights II,Electronic Arts,Electronic Arts,Shooter,Shooter,2005,2005,M,M,1,1,NA,NA,51,No,0.1,0.08,NA,0.03,0.2
Dear Boys: Fast Break!,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2003,2003,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Death By Degrees,Sony Computer Entertainment,Sony Computer Entertainment,ActionAdventure,ActionAdventure,2005,2005,T,T,1,1,NA,NA,51,Yes,0.05,0.04,NA,0.01,0.1
Death Connection,Idea Factory,Idea Factory,JAdventure,JAdventure,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Deep Water,505 Games,505 Games,ActionAdventure,ActionAdventure,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Deer Hunter,Atari,Atari,Sports,Sports,2003,2003,T,T,4,4,4,4,NA,Yes,0.14,0.11,NA,0.04,0.28
Def Jam Vendetta,Electronic Arts,Electronic Arts,Fighting,Fighting,2003,2003,T,T,4,4,NA,NA,80,No,0.95,0.74,NA,0.25,1.94
Def Jam: Fight for NY,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,2004,2004,M,M,4,4,NA,NA,83,No,0.86,0.67,NA,0.22,1.76
Defender,Midway Games,Midway Games,Misc,Misc,2002,2002,T,T,2,2,NA,NA,73,No,0.2,0.15,NA,0.05,0.4
Delta Force: Black Hawk Down,NovaLogic,Other,Shooter,Shooter,2005,2005,T,T,4,4,32,16,58,No,0.22,0.17,NA,0.06,0.46
Delta Force: Black Hawk Down - Team Sabre,Ubisoft,Ubisoft,Shooter,Shooter,2006,2006,T,T,4,4,32,16,NA,Yes,NA,NA,NA,NA,NA
Demolition Girl,505 Games,505 Games,ActionAdventure,ActionAdventure,2005,2005,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
